,topic,topic_information,score
10,Form 51-102F6 Statement of Executive Compensation,"7.2 Narrative discussion  Describe and explain any factors necessary to understand the director compensation disclosed in section 7.1.Commentary Significant factors described in the narrative required by section 7.2 will vary, but may include:(a)disclosure for each director who served in that capacity for any part of the most recently completed financial year;(b)standard compensation arrangements, such as fees for retainer, committee service, service as chair of the board or a committee, and meeting attendance;(c)any compensation arrangements for a director that are different from the standard arrangements, including the name of the director and a description of the terms of the arrangement; and (d)any matters discussed in the compensation discussion and analysis that do not apply to directors in the same way that they apply to NEOs such as practices for granting option-based awards.",0.06170248985290527
11,Form 51-102F6 Statement of Executive Compensation,"7.1 Director compensation table(1) Complete this table for all amounts of compensation provided to the directors for the company's most recently completed financial year.(2)  All forms of compensation must be included in this table. (3) Complete each column in the manner required for the corresponding column in the summary compensation table in section 3.1, in accordance with the requirements of Item 3, as supplemented by the commentary to Item 3, except as follows:(a) In column (a), do not include a director who is also an NEO if his or her compensation for service as a director is fully reflected in the summary compensation table and elsewhere in this form. If an NEO is also a director who receives compensation for his or her services as a director, reflect the director compensation in the summary compensation table required by section 3.1 and provide a footnote to this table indicating that the relevant disclosure has been provided under section 3.4.(b) In column (b), include all fees awarded, earned, paid, or payable in cash for services as a director, including annual retainer fees, committee, chair, and meeting fees. (c) In column (g), include all compensation paid, payable, awarded, granted, given, or otherwise provided, directly or indirectly, by the company, or a subsidiary of the company, to a director in any capacity, under any other arrangement. This includes, for greater certainty, all plan and non-plan compensation, direct and indirect pay, remuneration, economic or financial award, reward, benefit, gift or perquisite paid, payable, awarded, granted, given, or otherwise provided to the director for services provided, directly or indirectly, to the company or a subsidiary of the company. In a footnote to the table, disclose these amounts and describe the nature of the services provided by the director that are associated with these amounts. (d) In column (g), include programs where the company agrees to make donations to one or more charitable institutions in a director's name, payable currently or upon a designated event such as the retirement or death of the director. Include a footnote to the table disclosing the total dollar amount payable under the program.",0.11679594963788986
12,Form 51-102F6 Statement of Executive Compensation,"ITEM 6 - TERMINATION AND CHANGE OF CONTROL BENEFITS 6.1  Termination and change of control benefits(1) For each contract, agreement, plan or arrangement that provides for payments to an NEO at, following or in connection with any termination (whether voluntary, involuntary or constructive), resignation, retirement, a change in control of the company or a change in an NEO's responsibilities, describe, explain, and where appropriate, quantify the following items:(a) the circumstances that trigger payments or the provision of other benefits, including perquisites and pension plan benefits;(b) the estimated incremental payments, payables, and benefits that are triggered by, or result from, each circumstance, including timing, duration and who provides the payments and benefits;(c) how the payment and benefit levels are determined under the various circumstances that trigger payments or provision of benefits;(d) any significant conditions or obligations that apply to receiving payments or benefits. This includes but is not limited to, non-compete, non-solicitation, non-disparagement or confidentiality agreements. Include the term of these agreements and provisions for waiver or breach; and(e) any other significant factors for each written contract, agreement, plan or arrangement.(2) Disclose the estimated incremental payments, payables, and benefits even if it is uncertain what amounts might be paid in given circumstances under the various plans and arrangements, assuming that the triggering event took place on the last business day of the company's most recently completed financial year. For valuing share-based awards or option-based awards, use the closing market price of the company's securities on that date. If the company is unsure about the provision or amount of payments or benefits, make a reasonable estimate (or a reasonable estimate of the range of amounts) and disclose the significant assumptions underlying these estimates.(3) Despite subsection (1), the company is not required to disclose the following:(a) Perquisites and other personal benefits if the aggregate of this compensation is less than $50,000. State the individual perquisites and personal benefits as required by paragraph 3.1(10)(a).(b) Information about possible termination scenarios for an NEO whose employment terminated in the past year. The company must only disclose the consequences of the actual termination. (c) Information in respect of a scenario described in subsection (1) if there will be no incremental payments, payables, and benefits that are triggered by, or result from, that scenario. Commentary1. Subsection (1) does not require the company to disclose notice of termination without cause, or compensation in lieu thereof, which are implied as a term of an employment contract under common law or civil law.2. Item 6 applies to changes of control regardless of whether the change of control results in termination of employment.3.  Generally, there will be no incremental payments, payables, and benefits that are triggered by, or result from, a scenario described in subsection (1) for compensation that has been reported in the summary compensation table for the most recently completed financial year or for a financial year before the most recently completed financial year. If the vesting or payout of the previously reported compensation is accelerated, or a performance goal or similar condition in respect of the previously reported compensation is waived, as a result of a scenario described in subsection (1), the incremental payments, payables, and benefits should include the value of the accelerated benefit or of the waiver of the performance goal or similar condition. 4.  A company may disclose estimated incremental payments, payables and benefits that are triggered by, or result from, a scenario described in subsection (1), in a tabular format.",0.053642790764570236
13,Form 51-102F6 Statement of Executive Compensation,"5.4 Deferred compensation plans Describe the significant terms of any deferred compensation plan relating to each NEO, including:(a) the types of compensation that can be deferred and any limitations on the extent to which deferral is permitted (by percentage of compensation or otherwise);(b) significant terms of payouts, withdrawals and other distributions; and(c) measures for calculating interest or other earnings, how and when these measures may be changed, and whether an NEO or the company chose these measures. Quantify these measures wherever possible.",0.03307132050395012
14,Form 51-102F6 Statement of Executive Compensation,"4.1  Outstanding share-based awards and option-based awards(1) Complete this table for each NEO for all awards outstanding at the end of the most recently completed financial year. This includes awards granted before the most recently completed financial year. For all awards in this table, disclose the awards that have been transferred at other than fair market value.(2) In column (b), for each award, disclose the number of securities underlying unexercised options.(3) In column (c), disclose the exercise or base price for each option under each award reported in column (b). If the option was granted in a different currency than that reported in the table, include a footnote describing the currency and the exercise or base price.(4) In column (d), disclose the expiration date for each option under each award reported in column (b). (5) In column (e), disclose the aggregate dollar amount of in-the-money unexercised options held at the end of the year. Calculate this amount based on the difference between the market value of the securities underlying the instruments at the end of the year, and the exercise or base price of the option.(6) In column (f), disclose the total number of shares or units that have not vested. (7) In column (g), disclose the aggregate market value or payout value of share-based awards that have not vested.  If the share-based award provides only for a single payout on vesting, calculate this value based on that payout. If the share-based award provides for different payouts depending on the achievement of different performance goals or similar conditions, calculate this value based on the minimum payout. However, if the NEO achieved a performance goal or similar condition in a financial year covered by the share-based award that on vesting could provide for a payout greater than the minimum payout, calculate this value based on the payout expected as a result of the NEO achieving this performance goal or similar condition. (8) In column (h), disclose the aggregate market value or payout value of vested share-based awards that have not yet been paid out or distributed.",0.03482932969927788
15,Form 51-102F6 Statement of Executive Compensation,"3.2 Narrative discussion Describe and explain any significant factors necessary to understand the information disclosed in the summary compensation table required by section 3.1. CommentaryThe significant factors described in section 3.2 will vary depending on the circumstances of each award but may include:(a) the significant terms of each NEO's employment agreement or arrangement;(b) any repricing or other significant changes to the terms of any share-based or option-based award program during the most recently completed financial year; and(c) the significant terms of any award reported in the summary compensation table, including a general description of the formula or criterion to be applied in determining the amounts payable and the vesting schedule. For example, if dividends will be paid on shares, state this, the applicable dividend rate and whether that rate is preferential.",0.06840689480304718
16,Form 51-102F6 Statement of Executive Compensation,'incentive plan' means any plan providing compensation that depends on achieving certain performance goals or similar conditions within a specified period;,0.080001600086689
17,Form 51-102F6 Statement of Executive Compensation,"2.4  Compensation governance(1) Describe any policies and practices adopted by the board of directors to determine the compensation for the company's directors and executive officers.(2) If the company has established a compensation committee(a) disclose the name of each committee member and, in respect of each member, state whether or not the member is independent or not independent; (b) disclose whether or not one or more of the committee members has any direct experience that is relevant to his or her responsibilities in executive compensation;(c) describe the skills and experience that enable the committee to make decisions on the suitability of the company's compensation policies and practices; and (d) describe the responsibilities, powers and operation of the committee. (3) If a compensation consultant or advisor has, at any time since the company's most recently completed financial year, been retained to assist the board of directors or the compensation committee in determining compensation for any of the company's directors or executive officers(a) state the name of the consultant or advisor and a summary of the mandate the consultant or advisor has been given,(b) disclose when the consultant or advisor was originally retained, (c) if the consultant or advisor has provided any services to the company, or to its affiliated or subsidiary entities, or to any of its directors or members of management, other than or in addition to compensation services provided for any of the company's directors or executive officers,(i) state this fact and briefly describe the nature of the work, and(ii) disclose whether the board of directors or compensation committee must pre-approve other services the consultant or advisor, or any of its affiliates, provides to the company at the request of management, and(d) for each of the two most recently completed financial year, disclose,(i) under the caption 'Executive Compensation-Related Fees', the aggregate fees billed by each consultant or advisor, or any of its affiliates, for services related to determining compensation for any of the company's directors and executive officers, and(ii) under the caption 'All Other Fees', the aggregate fees billed for all other services provided by each consultant or advisor, or any of its affiliates, that are not reported under subparagraph (i) and include a description of the nature of the services comprising the fees disclosed under this category. Commentary For section 2.4, a director is independent if he or she would be independent within the meaning of section 1.4 of National Instrument 52-110 Audit Committees.",0.06749750673770905
18,Form 51-102F6 Statement of Executive Compensation,"Preparing the form (1) All compensation to be included(a) When completing this form, the company must disclose all compensation paid, payable, awarded, granted, given, or otherwise provided, directly or indirectly, by the company, or a subsidiary of the company, to each NEO and director, in any capacity, including, for greater certainty, all plan and non-plan compensation, direct and indirect pay, remuneration, economic or financial award, reward, benefit, gift or perquisite paid, payable, awarded, granted, given, or otherwise provided to the NEO or director for services provided and for services to be provided, directly or indirectly, to the company or a subsidiary of the company.(b) Despite paragraph (a), in respect of the Canada Pension Plan, similar government plans, and group life, health, hospitalization, medical reimbursement and relocation plans that do not discriminate in scope, terms or operation and are generally available to all salaried employees, the company is not required to disclose as compensation(i) any contributions or premiums paid or payable by the company on behalf of an NEO, or of a director, under these plans, and (ii) any cash, securities, similar instruments or any other property received by an NEO, or by a director, under these plans.(c) For greater certainty, the plans described in paragraph (b) include plans that provide for such benefits after retirement.(d) If an item of compensation is not specifically mentioned or described in this form, it is to be disclosed in column (h) ('All other compensation') of the summary compensation table in section 3.1.(2) Departures from format(a) Although the required disclosure must be made in accordance with this form, the disclosure may (i) omit a table, column of a table, or other prescribed information, if it does not apply, and (ii) add a table, column, or other information if (A)necessary to satisfy the objective in section 1.1, and (B)to a reasonable person, the table, column, or other information does not detract from the prescribed information in the summary compensation table in section 3.1. (b)Despite paragraph (a), a company must not add a column in the summary compensation table in section 3.1. (3)Information for full financial yearIf an NEO acted in that capacity for the company during part of the financial year for which disclosure is required in the summary compensation table, provide details of all of the compensation that the NEO received from the company for that financial year. This includes compensation the NEO earned in any other position with the company during the financial year.Do not annualize compensation in a table for any part of a year when an NEO was not in the service of the company. Annualized compensation may be disclosed in a footnote.(5)Director and NEO compensation Disclose any compensation awarded to, earned by, paid to, or payable to each director and NEO, in any capacity with respect to the company. Compensation to directors and NEOs must include all compensation from the company and its subsidiaries. Disclose any compensation awarded to, earned by, paid to, or payable to, an NEO, or director, in any capacity with respect to the company, by another person or company. (6)Determining if an individual is an NEOFor the purpose of calculating total compensation awarded to, earned by, paid to, or payable to an individual under paragraph (c) of the definition of NEO, (a) use the total compensation that would be reported under column (i) of the summary compensation table required by section 3.1 for each executive officer, as if that executive officer were an NEO for the company's most recently completed financial year, and (b)exclude from the calculation, (i)any compensation that would be reported under column (g) of the summary compensation table required by section 3.1, (ii)any incremental payments, payables, and benefits to an executive officer that are triggered by, or result from, a scenario listed in section 6.1 that occurred during the most recently completed financial year, and  (iii)any cash compensation that relates to foreign assignments that is specifically intended to offset the impact of a higher cost of living in the foreign location, and is not otherwise related to the duties the executive officer performs for the company.CommentaryThe $150,000 threshold in paragraph (c) of the definition of NEO only applies when determining who is an NEO in a company's most recently completed financial year. If an individual is an NEO in the most recently completed financial year, disclosure of compensation in prior years must be provided if otherwise required by this form even if total compensation in a prior year is less than $150,000 in that year. (7) Compensation to associatesDisclose any awards, earnings, payments, or payables to an associate of an NEO, or of a director, as a result of compensation awarded to, earned by, paid to, or payable to the NEO or the director, in any capacity with respect to the company.(8)New reporting issuers(a)Subject to paragraph (b) and subsection 3.1 (1), disclose information in the summary compensation table for the three most recently completed financial years since the company became a reporting issuer.  (b)Do not provide information for a completed financial year if the company was not a reporting issuer at any time during the most recently completed financial year, unless the company became a reporting issuer as a result of a restructuring transaction. (c)If the company was not a reporting issuer at any time during the most recently completed financial year and the company is completing the form because it is preparing a prospectus, discuss all significant elements of the compensation to be awarded to, earned by, paid to, or payable to NEOs of the company once it becomes a reporting issuer, to the extent this compensation has been determined.Commentary 1. Unless otherwise specified, information required to be disclosed under this form may be prepared in accordance with the accounting principles the company uses to prepare its financial statements, as permitted by National Instrument 52-107 Acceptable Accounting Principles and Auditing Standards.2.The definition of 'director' under securities legislation includes an individual who acts in a capacity similar to that of a director. (10)Plain language Information required to be disclosed under this form must be clear, concise, and presented in such a way that it provides a reasonable person an understanding of (a)how decisions about NEO and director compensation are made, and (b)how specific NEO and director compensation relates to the overall stewardship and governance of the company.CommentaryRefer to the plain language principles listed in section 1.5 of Companion Policy 51-102CP Continuous Disclosure Obligations for further guidance.",0.07795166969299316
19,Form 51-102F6 Statement of Executive Compensation,"ObjectiveAll direct and indirect compensation provided to certain executive officers and directors for, or in connection with, services they have provided to the company or a subsidiary of the company must be disclosed in this form. The objective of this disclosure is to communicate the compensation the company paid, made payable, awarded, granted, gave or otherwise provided to each NEO and director for the financial year, and the decision - making process relating to compensation. This disclosure will provide insight into executive compensation as a key aspect of the overall stewardship and governance of the company and will help investors understand how decisions about executive compensation are made.A company's executive compensation disclosure under this form must satisfy this objective and subsections 9.3.1(1) or 11.6(1) of the Instrument.",0.06809120625257492
20,Form 51-102F5 Information Circular,"Item 13 Management Contracts If management functions of the company or any of its subsidiaries are to any substantial degree performed other than by the directors or executive officers of the company or subsidiary,(a) give details of the agreement or arrangement under which the management functions are performed, including the name and address of any person or company who is a party to the agreement or arrangement or who is responsible for performing the management functions;(b) give the names and provinces of residence of any person that was, during the most recently completed financial year, an informed person of any person or company with which the company or subsidiary has any such agreement or arrangement and, if the following information is known to the directors or executive officers of the company, give the names and provinces of residence of any person or company that would be an informed person of any person or company with which the company or subsidiary has any such agreement or arrangement if the person were an issuer;(c) for any person or company named under paragraph (a) state the amounts paid or payable by the company and its subsidiaries to the person or company since the commencement of the most recently completed financial year and give particulars; and(d) for any person or company named under paragraph (a) or (b) and their associates or affiliates, give particulars of,(i) any indebtedness of the person, company, associate or affiliate to the company or its subsidiaries that was outstanding, and(ii) any transaction or arrangement of the person, company, associate or affiliate with the company or subsidiary,at any time since the start of the company's most recently completed financial year.INSTRUCTIONS:(i) Do not refer to any matter that is relatively insignificant.(ii) In giving particulars of indebtedness, state the largest aggregate amount of indebtedness outstanding at any time during the period, the nature of the indebtedness and of the transaction in which it was incurred, the amount of the indebtedness presently outstanding and the rate of interest paid or charged on the indebtedness.(iii) Do not include as indebtedness amounts due from the particular person for purchases subject to usual trade terms, for ordinary travel and expense advances and for other similar transactions.",0.03582867980003357
21,Form 51-102F5 Information Circular,"Item 10 Indebtedness of Directors and Executive Officers10.1  Aggregate Indebtedness(1) Complete the above table for the aggregate indebtedness outstanding as at a date within thirty days before the date of the information circular entered into in connection with:(a) a purchase of securities; and(b) all other indebtedness.(2) Report separately the indebtedness to(a) the company or any of its subsidiaries (column (b)); and(b) another entity if the indebtedness is the subject of a guarantee, support agreement, letter of credit or other similar arrangement or understanding provided by the company or any of its subsidiaries (column (c)), of all executive officers, directors, employees and former executive officers, directors and employees of the company or any of its subsidiaries.(3) 'Support agreement' includes, but is not limited to, an agreement to provide assistance in the maintenance or servicing of any indebtedness and an agreement to provide compensation for the purpose of maintaining or servicing any indebtedness of the borrower.10.2 Indebtedness of Directors and Executive Officers under (1) Securities Purchase and (2) Other Programs(1) Complete the above table for each individual who is, or at any time during the most recently completed financial year was, a director or executive officer of the company, each proposed nominee for election as a director of the company, and each associate of any such director, executive officer or proposed nominee,(a) who is, or at any time since the beginning of the most recently completed financial year of the company has been, indebted to the company or any of its subsidiaries, or(b) whose indebtedness to another entity is, or at any time since the beginning of the most recently completed financial year has been, the subject of a guarantee, support agreement, letter of credit or other similar arrangement or understanding provided by the company or any of its subsidiaries, and separately disclose the indebtedness for security purchase programs and all other programs.(2) Note the following:Column (a) - disclose the name and principal position of the borrower.  If the borrower was, during the most recently completed financial year, but no longer is a director or executive officer, state that fact.  If the borrower is a proposed nominee for election as a director, state that fact.  If the borrower is included as an associate, describe briefly the relationship of the borrower to an individual who is or, during the financial year, was a director or executive officer or who is a proposed nominee for election as a director, name that individual and provide the information required by this subparagraph for that individual.Column (b) - disclose whether the company or a subsidiary of the company is the lender or the provider of a guarantee, support agreement, letter of credit or similar arrangement or understanding.Column (c) - disclose the largest aggregate amount of the indebtedness outstanding at any time during the most recently completed financial year.Column (d) - disclose the aggregate amount of indebtedness outstanding as at a date within thirty days before the date of the information circular.Column (e) - disclose separately for each class or series of securities, the sum of the number of securities purchased during the most recently completed financial year with the financial assistance (security purchase programs only).Column (f) - disclose the security for the indebtedness, if any, provided to the company, any of its subsidiaries or the other entity (security purchase programs only).Column (g) - disclose the total amount of indebtedness that was forgiven at any time during the most recently completed financial year.(3) Supplement the above table with a summary discussion of(a) the material terms of each incidence of indebtedness and, if applicable, of each guarantee, support agreement, letter of credit or other similar arrangement or understanding, including(i) the nature of the transaction in which the indebtedness was incurred;(ii) the rate of interest;(iii) the term to maturity;(iv) any understanding, agreement or intention to limit recourse; and(v) any security for the indebtedness;(b) any material adjustment or amendment made during the most recently completed financial year to the terms of the indebtedness and, if applicable, the guarantee, support agreement, letter of credit or similar arrangement or understanding.  Forgiveness of indebtedness reported in column (g) of the above table should be explained; and(c) the class or series of the securities purchased with financial assistance or held as security for the indebtedness and, if the class or series of securities is not publicly traded, all material terms of the securities, including the provisions for exchange, conversion, exercise, redemption, retraction and dividends.10.3  You do not need to disclose information required by this Item(a) if you are not sending this information circular in connection with a meeting(i) that is an annual general meeting,(ii) at which the company's directors are to be elected, or(iii) at which the company's securityholders will be asked to vote on a matter relating to executive compensation,(b) for any indebtedness that has been entirely repaid on or before the date of the information circular, or(c) for routine indebtedness.'Routine indebtedness' means indebtedness described in any of the following clauses:(i) If the company or its subsidiary makes loans to employees generally,(A) the loans are made on terms no more favourable than the terms on which loans are made by the company or its subsidiary to employees generally, and(B) the amount, at any time during the last completed financial year, remaining unpaid under the loans to the director, executive officer or proposed nominee, together with his or her associates, does not exceed $50,000.(ii) A loan to a person or company who is a full-time employee of the company,(A) that is fully secured against the residence of the borrower, and(B) the amount of which in total does not exceed the annual salary of the borrower.(iii)  If the company or its subsidiary makes loans in the ordinary course of business, a loan made to a person or company other than a full-time employee of the company(A) on substantially the same terms, including those as to interest rate and security, as are available when a loan is made to other customers of the company or its subsidiary with comparable credit, and(B) with no more than the usual risks of collectibility.(iv) A loan arising by reason of purchases made on usual trade terms or of ordinary travel or expense advances, or for similar reasons, if the repayment arrangements are in accord with usual commercial practice.",0.01847502775490284
22,Form 51-102F5 Information Circular,"Item 9 Securities Authorized for Issuance Under Equity Compensation Plans9.1 Equity Compensation Plan Information(1) Provide the information in subsection(2) if you are sending this information circular in connection with a meeting(a) that is an annual general meeting,(b) at which the company's directors are to be elected, or(c) at which the company's securityholders will be asked to vote on a matter relating to executive compensation or a transaction that involves the company issuing securities.(2) In the tabular form under the caption set out, provide the information specified in section 9.2 as of the end of the company's most recently completed financial year with respect to compensation plans under which equity securities of the company are authorized for issuance, aggregated as follows:(a) all compensation plans previously approved by securityholders; and(b) all compensation plans not previously approved by securityholders.9.2 Include in the table the following information as of the end of the company's most recently completed financial year for each category of compensation plan described in section 9.1:(a) the number of securities to be issued upon the exercise of outstanding options, warrants and rights (column (a));(b) the weighted-average exercise price of the outstanding options, warrants and rights disclosed under subsection 9.2(a) (column (b)); and(c) other than securities to be issued upon the exercise of the outstanding options, warrants and rights disclosed in subsection 9.2(a), the number of securities remaining available for future issuance under the plan (column (c)).9.3 For each compensation plan under which equity securities of the company are authorized for issuance and that was adopted without the approval of securityholders, describe briefly, in narrative form, the material features of the plan.INSTRUCTIONS(i) The disclosure under Item 9 relating to compensation plans must include individual compensation arrangements.(ii) Provide disclosure with respect to any compensation plan of the company (or parent, subsidiary or affiliate of the company) under which equity securities of the company are authorized for issuance to employees or non-employees (such as directors, consultants, advisors, vendors, customers, suppliers or lenders) in exchange for consideration in the form of goods or services.  You do not have to provide disclosure regarding any plan, contract or arrangement for the issuance of warrants or rights to all securityholders of the company on a pro rata basis (such as a rights offering).(iii) If more than one class of equity security is issued under the company's compensation plans, disclose aggregate plan information for each class of security separately.(iv)  You may aggregate information regarding individual compensation arrangements with the plan information required under subsections 9.1(a) and (b), as applicable.(v)  You may aggregate information regarding a compensation plan assumed in connection with a merger, consolidation or other acquisition transaction pursuant to which the company may make subsequent grants or awards of its equity securities with the plan information required under subsections 9.1(a) and (b), as applicable.  Disclose on an aggregated basis in a footnote to the table the information required under subsections 9.2(a) and (b) with respect to any individual options, warrants or rights outstanding under the compensation plan assumed in connection with a merger, consolidation or other acquisition transaction.(vi) To the extent that the number of securities remaining available for future issuance disclosed in column (c) includes securities available for future issuance under any compensation plan other than upon the exercise of an option, warrant or right, disclose the number of securities and type of plan separately for each such plan in a footnote to the table.(vii) If the description of a compensation plan set forth in the company's financial statements contains the disclosure required by section 9.3, a cross-reference to the description satisfies the requirements of section 9.3.(viii) an equity compensation plan contains a formula for calculating the number of securities available for issuance under the plan, including, without limitation, a formula that automatically increases the number of securities available for issuance by a percentage of the number of outstanding securities of the company, describe this formula in a footnote to the table.",0.026166317984461784
23,Form 51-102F5 Information Circular,"Item 7 Election of Directors7.1  If directors are to be elected, provide the following information, in tabular form to the extent practicable, for each person proposed to be nominated for election as a director (a 'proposed director') and each other person whose term of office as a director will continue after the meeting(a) State the name, province or state, and country of residence, of each director and proposed director. (b)State the period or periods during which each director has served as a director and when the term of office for each director and proposed director will expire.(c)Identify the members of each committee of the board.(d)State the present principal occupation, business or employment of each director and proposed director. Give the name and principal business of any company in which any such employment is carried on. Furnish similar information as to all of the principal occupations, businesses or employments of each proposed director within the five preceding years, unless the proposed director is now a director and was elected to the present term of office by a vote of securityholders at a meeting, the notice of which was accompanied by an information circular.(e)if a director or proposed director has held more than one position in the company, or a parent or subsidiary, state only the first and last position held.(f)State the number of securities of each class of voting securities of the company or any of its subsidiaries beneficially owned, or controlled or directed, directly or indirectly, by each proposed director.(g) If securities carrying 10 per cent or more of the voting rights attached to all voting securities of the company or of any of its subsidiaries are beneficially owned, or controlled or directed, directly or indirectly, by any proposed director and the proposed director's associates or affiliates,(i) state the number of securities of each class of  voting securities beneficially owned, or controlled or directed, directly or indirectly, by the associates or affiliates; and(ii)name each associate or affiliate whose security holdings are 10 per cent or more.7.2  If a proposed director(a) is, as at the date of the information circular, or has been, within 10 years before the date of the information circular, a director, chief executive officer or chief financial officer of any company (including the company in respect of which the information circular is being prepared) that, (i) was subject to an order that was issued while the proposed director was acting in the capacity as director, chief executive officer or chief financial officer; or(ii) was subject to an order that was issued after the proposed director ceased to be a director, chief executive officer or chief financial officer and which resulted from an event that occurred while that person was acting in the capacity as director, chief executive officer or chief financial officer,state the fact and describe the basis on which the order was made and whether the order is still in effect; or (b) is, as at the date of the information circular, or has been within 10 years before the date of the information circular, a director or executive officer of any company (including the company in respect of which the information circular is being prepared) that, while that person was acting in that capacity, or within a year of that person ceasing to act in that capacity, became bankrupt, made a proposal under any legislation relating to bankruptcy or insolvency or was subject to or instituted any proceedings, arrangement or compromise with creditors or had a receiver, receiver manager or trustee appointed to hold its assets, state the fact; or(c) has, within the 10 years before the date of the information circular, become bankrupt, made a proposal under any legislation relating to bankruptcy or insolvency, or become subject to or instituted any proceedings, arrangement or compromise with creditors, or had a receiver, receiver manager or trustee appointed to hold the assets of the proposed director, state the fact.7.2.1 Describe the penalties or sanctions imposed and the grounds on which they were imposed, or the terms of the settlement agreement and the circumstances that gave rise to the settlement agreement, if a proposed director has been subject to(a) any penalties or sanctions imposed by a court relating to securities legislation or by a securities regulatory authority or has entered into a settlement agreement with a securities regulatory authority; or(b) any other penalties or sanctions imposed by a court or regulatory body that would likely be considered important to a reasonable securityholder in deciding whether to vote for a proposed director.7.2.2 Despite section 7.2.1, no disclosure is required of a settlement agreement entered into before December 31, 2000 unless the disclosure would likely be important to a reasonable securityholder in deciding whether to vote for a proposed director.INSTRUCTIONS(i)  The disclosure required by sections 7.2 and 7.2.1 also applies to any personal holding companies of the proposed director.(ii) A management cease trade order which applies to directors or executive officers of a company is an 'order' for the purposes of paragraph 7.2(a)(i) and must be disclosed, whether or not the proposed director was named in the order.(iii)  A late filing fee, such as a filing fee that applies to the late filing of an insider report, is not a 'penalty or sanction' for the purposes of section 7.2.1.(iv) The disclosure in paragraph 7.2(a)(i) only applies if the proposed director was a director, chief executive officer or chief financial officer when the order was issued against the company. You do not have to provide disclosure if the proposed director became a director, chief executive officer or chief financial officer after the order was issued.7.2.3 For the purposes of subsection 7.2(a), 'order' means(a) a cease trade order;(b) an order similar to a cease trade order; or(c) an order that denied the relevant company access to any exemption under securities legislation, that was in effect for a period of more than 30 consecutive days.7.3 If any proposed director is to be elected under any arrangement or understanding between the proposed director and any other person or company, except the directors and executive officers of the company acting solely in such capacity, name the other person or company and describe briefly the arrangement or understanding.",0.015862518921494484
24,Canada Business Corporations Regulations,"Electronic Documents 7 (1) For the purpose of paragraph 252_3(2)(a) of the Act, the consent shall be in writing.(2) For the purpose of paragraph 252_3(2)(b) of the Act, a notice, document or other information that is not required under the Act to be sent to a specific place may be sent as an electronic document to a place other than to an information system designated by the addressee under paragraph 252_3(2)(a) of the Act by posting it on or making it available through a generally accessible electronic source, such as a website, and by providing the addressee with notice in writing of the availability and location of that electronic document.",0.06767290085554123
